,종목명,코드,유형,순자산,종가,거래량,수익율,총보수,운용사
349,KOSEF 블루칩,104520,테마/우량주,111,9290,1030,-6.07,0.4,키움투자자산운용
350,ARIRANG 고배당저변동50,251590,투자전략/투자전략,111,11690,5188,2.54,0.23,한화자산운용
352,KINDEX 싱가포르리츠,316300,해외지수/해외지수,111,12355,1490,1.98,0.4,한국투자신탁운용
353,KBSTAR 글로벌클린에너지S&P,399580,해외지수/해외지수,110,9205,8071,0.71,0.4,케이비자산운용
354,ARIRANG 국채선물10년,289670,채권/국공채권,110,53890,653,-4.14,0.13,한화자산운용
358,HANARO Fn K-메타버스MZ,402460,섹터/IT,108,10790,20825,-7.58,0.45,엔에이치아문디자산운용
360,HANARO Fn K-반도체,395270,섹터/IT,107,9770,33571,-4.54,0.45,엔에이치아문디자산운용
361,HANARO 탄소효율그린뉴딜,375760,테마/녹색성장,107,8930,1407,-8.03,0.2,엔에이치아문디자산운용
362,TIGER 코스닥150바이오테크,261070,시장지수/코스닥,107,9365,10016,-14.36,0.4,미래에셋자산운용
363,TIGER 일본TOPIX헬스케어(합성),248260,해외지수/해외지수,107,10740,519,-2.67,0.4,미래에셋자산운용
365,KBSTAR KQ고배당,270800,스타일/스타일,104,14870,2495,-2.72,0.3,케이비자산운용
366,KOSEF KRX100,100910,시장지수/KRX100,104,5760,1417,-8.43,0.23,키움투자자산운용
367,KOSEF 고배당,104530,스타일/스타일,103,9855,8910,0.77,0.4,키움투자자산운용
370,ARIRANG KRX300,292750,시장지수/KRX300,102,17040,439,-7.99,0.09,한화자산운용
371,마이다스 KoreaStock액티브,403790,시장지수/코스피200,102,19325,1474,-7.09,0.62,마이다스에셋자산운용
372,KODEX 콩선물(H),138920,상품/농산물,102,14625,8492,32.11,0.68,삼성자산운용
373,TIGER 200 철강소재,139240,섹터/소재,101,9190,20419,2.68,0.4,미래에셋자산운용
375,TIGER 일본TOPIX(합성 H),195920,해외지수/해외지수,100,15555,2110,-5.12,0.24,미래에셋자산운용
376,KODEX 모멘텀Plus,244620,투자전략/투자전략,100,12460,8369,-4.12,0.3,삼성자산운용
379,TREX 펀더멘탈 200,145850,투자전략/투자전략,98,39125,7,-3.61,0.34,유리자산운용
380,KODEX TSE일본리츠(H),352540,기타/기타,98,12330,390,-6.02,0.3,삼성자산운용
381,KBSTAR 중국MSCI China(H),310080,해외지수/해외지수,98,9370,3072,-14.0,0.6,케이비자산운용
382,KODEX 혁신기술테마액티브,364690,테마/기타,97,12030,6300,-8.86,0.3,삼성자산운용
383,KODEX 일본TOPIX100,101280,해외지수/해외지수,95,16090,1764,-5.8,0.37,삼성자산운용
385,TREX 200,108590,시장지수/코스피200,95,37790,525,-7.37,0.33,유리자산운용
